id,category,question,answerable,gold_evidence_count,matched_evidence_count,matched_evidence,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,retrieved_chunks,retrieved_sources
Q01,factual,What is machine learning?,True,2,2,model learns useful patterns from examples | manually written rules,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q02,factual,What is the difference between classification and regression?,True,2,1,regression predicts a continuous quantity,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q03,factual,What is the purpose of the validation set?,True,2,2,validation set supports model selection | hyperparameter tuning,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q04,conceptual,Why should the test set be held back until the end?,True,3,3,test set is held back until the end | previously unseen examples | test-set leakage,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q05,factual,Give two examples of feature engineering.,True,3,3,extracting the day of week from a timestamp | categorical field into numerical indicators | creating ratios,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q06,factual,What type of target does linear regression model?,True,2,2,linear regression models a continuous target | weighted combination of input features,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q07,conceptual,How does changing the classification threshold affect logistic regression?,True,3,3,probability | decision threshold | false positives and false negatives,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q08,factual,What controls can reduce decision-tree complexity?,True,3,3,maximum depth | minimum samples per leaf | pruning,2,0,1,1,0.5,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q09,conceptual,How does boosting differ from bagging?,True,4,4,bagging | different samples | boosting builds models sequentially | errors made by earlier models,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q10,factual,What does recall measure in binary classification?,True,3,3,recall measures | successfully identified | actual positives,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q11,conceptual,Why can accuracy be misleading for an imbalanced classification problem?,True,3,3,accuracy can be misleading | majority class | imbalanced classification,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q12,factual,What is backpropagation used for in a neural network?,True,3,3,backpropagation | calculate gradients | optimizer can update model parameters,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q13,conceptual,Why are embeddings useful for semantic search?,True,3,2,embeddings represent text as numerical vectors | similarity-based search,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q14,factual,What does a vector database store besides vectors?,True,2,2,vectors together with associated metadata | payloads,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q15,conceptual,How does Retrieval-Augmented Generation work?,True,4,4,transforms a user query for retrieval | selects relevant document chunks | language model | context,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q16,conceptual,Why is chunk overlap useful in document retrieval?,True,2,2,overlapping neighboring chunks | chunk boundary,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q17,factual,What does Recall@K measure in retrieval evaluation?,True,3,3,Recall at K | relevant information | top K retrieved results,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q18,factual,What does Mean Reciprocal Rank reward?,True,3,3,Mean Reciprocal Rank | first relevant result | near the top of the ranking,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q19,conceptual,What should a RAG system do when the answer is absent from the provided documents?,True,2,2,avoid inventing an answer | information was not found in the provided documents,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q20,conceptual,Why can a strong RAG prompt not compensate for retrieving the wrong evidence?,True,3,2,prompt quality does not replace retrieval quality | wrong evidence,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q21,factual,Which stages can contribute to RAG latency?,True,5,5,document processing | embedding creation | vector search | prompt construction | language-model inference,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q22,conceptual,What must remain constant for a fair comparison of two retrieval configurations?,True,5,5,questions | ground-truth relevance labels | embedding model | evaluation procedure | retrieval configuration,1,1,1,1,1.0,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q23,unanswerable,What is Brim's exact production accuracy on this document?,False,0,0,,,,,,,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
Q24,unanswerable,Which company originally created the Brim AI Study Assistant?,False,0,0,,,,,,,3,tmp9hvksey0.pdf | tmp9hvksey0.pdf | tmp9hvksey0.pdf
